id,P,R,F1,correct,len,avg_edit_dist,avg_norm_edit_dist,Time
FF-phone-3-long-repeat,1.0,1.0,1.0,50,50,0.0,0.0,50.12336039543152
FF-name-combine-3-long,1.0,1.0,1.0,13,25,1.32,0.1054482772129831,18.879682302474976
FF-univ-2-long-repeat,1.0,1.0,1.0,0,10,6.3,0.18180541236033226,18.546039819717407
FF-univ-1-long-repeat,1.0,1.0,1.0,0,10,2.4,0.07780551601613403,20.70792579650879
FF-univ-3-short,1.0,1.0,1.0,0,3,17.666666666666668,0.6073412698412698,3.909191370010376
FF-dr-name-long,1.0,1.0,1.0,20,25,0.32,0.024725274725274728,20.542163372039795
FF-phone-short,1.0,1.0,1.0,3,3,0.0,0.0,1.2379589080810547
FF-phone-long-repeat,1.0,1.0,1.0,50,50,0.0,0.0,20.682609796524048
FF-phone-8-short,1.0,1.0,1.0,4,4,0.0,0.0,1.6411993503570557
FF-bikes-long,1.0,1.0,1.0,0,5,1.8,0.24285714285714283,3.228581666946411
FF-bikes,1.0,1.0,1.0,3,3,0.0,0.0,1.785827398300171
FF-name-combine-short,1.0,1.0,1.0,3,3,0.0,0.0,3.064892053604126
FF-phone-3-long,1.0,1.0,1.0,49,50,0.08,0.006153846153846154,49.70991539955139
FF-phone-9-long-repeat,1.0,1.0,1.0,16,50,1.74,0.12490842490842491,55.39482402801514
FF-name-combine-4-long,1.0,1.0,1.0,24,25,0.04,0.003076923076923077,21.264006853103638
FF-firstname,1.0,1.0,1.0,2,2,0.0,0.0,0.5543251037597656
FF-name-combine-4-long-repeat,1.0,1.0,1.0,25,25,0.0,0.0,20.592758655548096
FF-univ-1-short,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,3,14.0,0.2745732255166217,6.200610160827637
FF-univ-5-short,0.75,0.75,0.75,1,4,6.25,0.32002801120448177,3.7045505046844482
FF-reverse-name-long,1.0,1.0,1.0,18,25,2.2,0.10922077922077922,28.924700021743774
FF-univ-2-long,0.7,0.7,0.7,0,10,9.5,0.24332467618449627,18.044288396835327
FF-name-combine-3,1.0,1.0,1.0,2,3,1.6666666666666667,0.12820512820512822,2.4144322872161865
FF-name-combine-4,1.0,1.0,1.0,0,3,1.0,0.09393939393939395,1.0062711238861084
